ID,이름,레이팅,포지션,국적,국적국기,클럽,이미지,희귀도,설명,PAC,SHO,PAS,DRI,DEF,PHY
son_heung_min,손흥민,89,LW,South Korea,https://flagcdn.com/w40/kr.png,LA FC,player/손흥민.png,legend,"대한민국 축구 역사상 최고의 전설적인 공격수입니다. 탁월한 리더십과 훌륭한 인품, 그리고 그라운드 위에서 끝까지 최선을 다하는 헌신적인 태도로 동료 선수들과 온 국민의 열렬한 사랑과 성원을 받는 이 시대 최고의 축구 선수이자 아이콘입니다.",91,89,84,87,42,72
lee_seung_woo,이승우,82,LW,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/이승우.png,normal,"번뜩이는 천재성과 예측 불가능한 플레이 스타일을 지닌 대한민국 최고의 크랙형 공격수입니다. 뛰어난 테크닉, 폭발적인 드리블 스피드, 그리고 독보적인 스타성으로 경기장 분위기를 한순간에 뒤바꿔 놓는 해결사입니다.",87,80,78,85,38,62
lee_seung_woo_kr,이승우,86,LW,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/이승우_kr.png,special,"가슴에 찬란한 태극 마크를 품고 대한민국의 붉은 함성을 이끄는 특급 국가대표 윙어 이승우입니다. 특유의 기동력과 지칠 줄 모르는 과감한 돌파력, 그리고 그라운드 위에서 번뜩이는 천재적인 플레이로 조국의 승리를 이끄는 스페셜 공격수입니다.",90,84,83,88,40,68
lee_kang_in,이강인,86,RW,South Korea,https://flagcdn.com/w40/kr.png,PARIS SG,player/이강인.png,legend,"세계 최고의 명문 구단 중 하나인 파리 생제르맹(PSG)에서 활약 중인 대한민국의 대표 미드필더입니다. 압도적인 탈압박과 전매특허인 왼발 정밀 크로스, 그리고 그라운드를 종횡무진하는 마술 같은 시야로 경기를 주도하는 월드클래스 천재 크랙입니다.",83,82,89,89,45,68
oberdan,오베르단,81,CM,Brazil,https://flagcdn.com/w40/br.png,JEONBUK,player/오베르단.png,normal,엄청난 활동량과 강력한 수비력을 겸비한 전북 현대의 핵심 수비형 미드필더입니다. 중원 전체를 커버하는 넓은 수비 범위와 지치지 않는 체력으로 팀의 엔진 역할을 수행합니다.,78,70,78,80,81,82
song_bum_keun,송범근,82,GK,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/송범근.png,normal,뛰어난 반사신경과 안정적인 공중볼 처리 능력을 갖춘 전북 현대의 주전 골키퍼입니다. 위기 상황마다 보여주는 눈부신 슈퍼 세이브와 침착한 경기 운영으로 최후방 수비라인의 든든한 버팀목입니다.,80,79,75,82,82,81
compagno,콤파뇨,85,ST,Italy,https://flagcdn.com/w40/it.png,JEONBUK,player/콤파뇨.png,special,탁월한 피지컬과 높은 타점의 헤더를 자랑하는 전북 현대의 정통 타겟맨 스트라이커입니다. 박스 안에서의 압도적인 집중력과 찬스를 놓치지 않는 뛰어난 골 결정력으로 수비진에게 공포를 줍니다.,77,88,71,77,42,90
tiago,티아고,79,ST,Brazil,https://flagcdn.com/w40/br.png,JEONBUK,player/티아고.png,normal,"브라질 출신의 파워풀하고 돌파력이 뛰어난 전북 현대의 대형 공격수입니다. 탄탄한 피지컬을 활용한 포스트 플레이와 강력한 전방 압박, 묵직한 슈팅으로 매번 득점 기회를 노립니다.",76,79,63,74,40,83
motta,모따,79,ST,Brazil,https://flagcdn.com/w40/br.png,JEONBUK,player/모따.png,normal,유연한 발재간과 탁월한 공간 침투력을 보유한 브라질 테크니션 포워드입니다. 감각적인 연계 플레이와 빠른 반박자 빠른 슈팅 타이밍으로 상대의 골문을 흔드는 크랙입니다.,75,80,64,73,35,80
kim_jin_gyu,김진규,79,CM,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/김진규.png,normal,넓은 시야와 날카로운 패스로 빌드업의 중심을 잡는 플레이메이커입니다. 영리한 위치 선정과 지능적인 압박 타이밍으로 전북 현대 중원의 연결고리 역할을 확실하게 수행합니다.,74,72,80,78,68,72
lee_yeong_jae,이영재,79,CM,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/이영재.png,normal,"마법 같은 왼발 킥력을 지닌 K리그 정상급 플레이메이커 미드필더입니다. 날카로운 세트피스 전담 키커이자, 한 번에 수비를 뚫어버리는 허를 찌르는 전진 패스가 매우 돋보입니다.",73,76,81,79,60,68
kim_seung_sub,김승섭,84,LW,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/김승섭.png,normal,빠른 스피드와 지치지 않는 체력으로 측면을 돌파하는 헌신적인 윙어입니다. 넓은 활동 영역을 바탕으로 한 날카로운 컷백과 활발한 수비 가담으로 전술적 다양성을 늘려줍니다.,86,84,77,84,55,70
lee_dong_jun,이동준,78,RW,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/이동준.png,normal,K리그에서 가장 폭발적인 순간 가속도를 자랑하는 스피드 스타 윙어입니다. 수비 뒷공간을 완전히 허무는 순간적인 배후 침투와 과감한 일대일 돌파가 전매특허입니다.,89,77,70,80,35,60
kim_tae_hwan,김태환,78,RB,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/김태환.png,normal,"전북 현대의 우측 측면을 책임지는 베테랑 풀백 김태환입니다. '치타'라는 별명에 걸맞은 폭발적인 스피드와 투지 넘치는 대인 수비, 그리고 저돌적인 오버래핑으로 팀의 측면에 단단함과 활력을 불어넣는 든든한 수비수입니다.",85,60,73,72,76,79
gamboa,감보아,78,CM,Portugal,https://flagcdn.com/w40/pt.png,JEONBUK,player/감보아.png,normal,포르투갈 출신의 탄탄한 기본기와 노련한 경기 조율 능력을 가진 중앙 미드필더입니다. 중원에서 침착한 볼 소유와 안정적인 전진 패스로 전체적인 공수 밸런스를 차분히 조절해 줍니다.,72,65,75,74,78,80
